"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"User Thinking Gym Application","Health Check","Successful functionality of the app","0","0","1","0","0"
"AI Conversation Coach Application","Health Check","Successful functionality of the app","0","1","0","0","0"
"Admin Thinking Gym Application","Health Check","Successful functionality of the app","0","0","1","0","0"
"AI Knowledge Assistant Application","Health Check","Successful functionality of the app","0","1","0","0","0"
"User Be Course Catalogue Application","Health Check","Successful functionality of the app","0","1","0","0","0"
"Knowledge Empire Singapore Application","Health Check","Successful functionality of the app","0","0","1","0","0"
"Admin Be Course Catalogue Application","Health Check","Successful functionality of the app","0","1","0","0","0"
"Admin Edoc Application","Health Check","Successful functionality of the app","0","0","1","0","0"
"Knowledge Empire German Application","Health Check","Successful functionality of the app","0","1","0","0","0"
"User Edoc Application","Health Check","Successful functionality of the app","0","0","1","0","0"
